iter	RMSE
0	176724069.3
1	163101138.2
2	149804003.3
3	137634016
4	126659546.4
5	116772792.2
6	107136475.6
7	99119390.11
8	91884550.21
9	85531315.26
10	79362142.17
11	73339508.34
12	68191231.45
13	63655561.48
14	59527066.48
15	55606495.02
16	52111686.19
17	49316366.66
18	46249571.12
19	43771705.87
20	41480106.91
21	39384077.01
22	37187476.21
23	35225261.36
24	33524368.61
25	31911832.37
26	30520673.57
27	29208819.63
28	27934721.85
29	27456353.26
30	26996131.1
31	25876267.52
32	25390593.75
33	25001755.17
34	24588691.54
35	24245587.04
36	23246479.39
37	22894217.64
38	22557523.9
39	22249313.71
40	21654234.02
41	21316469.77
42	20617403.88
43	19861620.22
44	19555708.39
45	19281219.19
46	18579778.66
47	18339973.78
48	18085352.39
49	17845992.4
50	17213732.52
51	16981897.06
52	16749812.98
53	16540498.09
54	16343774.48
55	16154161.57
56	15623190.11
57	15080074.71
58	14908661.75
59	14746242.54
60	14589593.54
61	14109910.28
62	13623233.56
63	13191326.83
64	13050386.05
65	12896785.82
66	12759320.11
67	12303142.55
68	12174339.75
69	11989923.16
70	11878846.06
71	11760084.24
72	11639149.88
73	11296976.64
74	10918559.56
75	10738537.59
76	10590044.82
77	10489708
78	10396119.92
79	10300667.07
80	10051826.63
81	9961492.968
82	9707535.726
83	9565745.945
84	9484808.916
85	9241947.797
86	9144710.886
87	9077851.603
88	9006981.404
89	8789575.865
90	8727188.248
91	8530738.632
92	8463676.157
93	8291168.432
94	8238166.419
95	8179237.374
96	8133771.848
97	8085045.205
98	7940045.673
99	7788179.364
